INFO:root:episode:1  step:1 Cost:25.04342577574281 min Cost:-1 Reward:0 global reward:0 Action:[2, 2]
INFO:root:episode:1  step:2 Cost:37.51455383872964 min Cost:-1 Reward:0 global reward:0 Action:[0, 3]
INFO:root:episode:1  step:3 Cost:50.01455383872964 min Cost:-1 Reward:0 global reward:0 Action:[2, 0]
INFO:root:episode:1  step:4 Cost:51.61812010795834 min Cost:-1 Reward:0 global reward:0 Action:[1, 1]
INFO:root:episode:1  step:5 Cost:56.82237506295318 min Cost:-1 Reward:0 global reward:0 Action:[2, 5]
INFO:root:episode:1  step:6 Cost:48.48904172961985 min Cost:-1 Reward:0 global reward:0 Action:[2, 4]
INFO:root:episode:2  step:1 Cost:32.83766826222787 min Cost:25.04342577574281 Reward:0 global reward:0 Action:[2, 2]
INFO:root:episode:2  step:2 Cost:44.04919091430338 min Cost:37.51455383872964 Reward:0 global reward:0 Action:[0, 3]
INFO:root:episode:2  step:3 Cost:55.79720504802118 min Cost:50.01455383872964 Reward:0 global reward:0 Action:[1, 1]
INFO:root:episode:2  step:4 Cost:64.13053838135451 min Cost:51.61812010795834 Reward:0 global reward:0 Action:[1, 5]
INFO:root:episode:2  step:5 Cost:54.52359762362641 min Cost:56.82237506295318 Reward:0 global reward:0 Action:[3, 0]
INFO:root:episode:2  step:6 Cost:42.02359762362641 min Cost:48.48904172961985 Reward:100 global reward:100 Action:[1, 4]
INFO:root:episode:3  step:1 Cost:32.83766826222787 min Cost:25.04342577574281 Reward:0 global reward:100 Action:[2, 2]
INFO:root:episode:3  step:2 Cost:73.09149320675013 min Cost:37.51455383872964 Reward:0 global reward:100 Action:[0, 3]
INFO:root:episode:3  step:3 Cost:79.5317265205127 min Cost:50.01455383872964 Reward:0 global reward:100 Action:[1, 1]
INFO:root:episode:3  step:4 Cost:85.78967329478547 min Cost:51.61812010795834 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:3  step:5 Cost:68.9736499870396 min Cost:56.82237506295318 Reward:0 global reward:100 Action:[3, 0]
INFO:root:episode:3  step:6 Cost:68.9736499870396 min Cost:42.02359762362641 Reward:-269.50052363413187 global reward:100 Action:[0, 4]
INFO:root:episode:4  step:1 Cost:69.23829225862697 min Cost:25.04342577574281 Reward:0 global reward:100 Action:[2, 2]
INFO:root:episode:4  step:2 Cost:93.28470669130789 min Cost:37.51455383872964 Reward:0 global reward:100 Action:[0, 3]
INFO:root:episode:4  step:3 Cost:88.24472575237094 min Cost:50.01455383872964 Reward:0 global reward:100 Action:[1, 1]
INFO:root:episode:4  step:4 Cost:96.57805908570427 min Cost:51.61812010795834 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:4  step:5 Cost:74.81386839600306 min Cost:56.82237506295318 Reward:0 global reward:100 Action:[3, 0]
INFO:root:episode:4  step:6 Cost:69.03819443767625 min Cost:42.02359762362641 Reward:-270.14596814049844 global reward:100 Action:[0, 4]
INFO:root:episode:5  step:1 Cost:41.755944143843166 min Cost:25.04342577574281 Reward:0 global reward:100 Action:[2, 1]
INFO:root:episode:5  step:2 Cost:66.09007192023208 min Cost:37.51455383872964 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:5  step:3 Cost:61.92340525356541 min Cost:50.01455383872964 Reward:0 global reward:100 Action:[2, 2]
INFO:root:episode:5  step:4 Cost:57.489009104679326 min Cost:51.61812010795834 Reward:0 global reward:100 Action:[3, 0]
INFO:root:episode:5  step:5 Cost:53.32234243801266 min Cost:56.82237506295318 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:5  step:6 Cost:48.85314963913628 min Cost:42.02359762362641 Reward:-68.29552015509869 global reward:100 Action:[0, 4]
INFO:root:episode:6  step:1 Cost:29.255944143843166 min Cost:25.04342577574281 Reward:0 global reward:100 Action:[2, 2]
INFO:root:episode:6  step:2 Cost:41.09007192023208 min Cost:37.51455383872964 Reward:0 global reward:100 Action:[1, 0]
INFO:root:episode:6  step:3 Cost:36.47532822067333 min Cost:50.01455383872964 Reward:0 global reward:100 Action:[3, 3]
INFO:root:episode:6  step:4 Cost:32.30866155400667 min Cost:51.61812010795834 Reward:0 global reward:100 Action:[1, 1]
INFO:root:episode:6  step:5 Cost:48.97532822067333 min Cost:56.82237506295318 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:6  step:6 Cost:40.14870880769806 min Cost:42.02359762362641 Reward:200 global reward:200 Action:[0, 4]
INFO:root:episode:7  step:1 Cost:48.136533070468005 min Cost:25.04342577574281 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:7  step:2 Cost:57.959094438534464 min Cost:37.51455383872964 Reward:0 global reward:200 Action:[0, 3]
INFO:root:episode:7  step:3 Cost:66.48285729527568 min Cost:50.01455383872964 Reward:0 global reward:200 Action:[1, 1]
INFO:root:episode:7  step:4 Cost:74.81619062860901 min Cost:51.61812010795834 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:7  step:5 Cost:65.65028788746793 min Cost:56.82237506295318 Reward:0 global reward:200 Action:[3, 0]
INFO:root:episode:7  step:6 Cost:65.65028788746793 min Cost:40.14870880769806 Reward:-255.01579079769868 global reward:200 Action:[0, 4]
INFO:root:episode:8  step:1 Cost:48.136533070468005 min Cost:25.04342577574281 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:8  step:2 Cost:62.83332726968469 min Cost:37.51455383872964 Reward:0 global reward:200 Action:[0, 3]
INFO:root:episode:8  step:3 Cost:75.33332726968469 min Cost:50.01455383872964 Reward:0 global reward:200 Action:[0, 1]
INFO:root:episode:8  step:4 Cost:65.09538444649161 min Cost:51.61812010795834 Reward:0 global reward:200 Action:[1, 0]
INFO:root:episode:8  step:5 Cost:73.42871777982495 min Cost:56.82237506295318 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:8  step:6 Cost:57.96818870123239 min Cost:40.14870880769806 Reward:-178.19479893534336 global reward:200 Action:[3, 4]
INFO:root:episode:9  step:1 Cost:27.416032589898332 min Cost:25.04342577574281 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:9  step:2 Cost:49.76835159353614 min Cost:37.51455383872964 Reward:0 global reward:200 Action:[0, 3]
INFO:root:episode:9  step:3 Cost:59.693030890262854 min Cost:50.01455383872964 Reward:0 global reward:200 Action:[1, 1]
INFO:root:episode:9  step:4 Cost:68.02636422359619 min Cost:51.61812010795834 Reward:0 global reward:200 Action:[1, 5]
INFO:root:episode:9  step:5 Cost:57.21652940565427 min Cost:56.82237506295318 Reward:0 global reward:200 Action:[3, 0]
INFO:root:episode:9  step:6 Cost:57.21652940565427 min Cost:40.14870880769806 Reward:-170.67820597956214 global reward:200 Action:[3, 4]
INFO:root:episode:10  step:1 Cost:26.82325606506131 min Cost:25.04342577574281 Reward:0 global reward:200 Action:[2, 2]
INFO:root:episode:10  step:2 Cost:41.34857707406133 min Cost:37.51455383872964 Reward:0 global reward:200 Action:[0, 3]
INFO:root:episode:10  step:3 Cost:53.013833080217545 min Cost:50.01455383872964 Reward:0 global reward:200 Action:[1, 1]
INFO:root:episode:10  step:4 Cost:57.328735101593054 min Cost:51.61812010795834 Reward:0 global reward:200 Action:[1, 4]
INFO:root:episode:10  step:5 Cost:44.828735101593054 min Cost:56.82237506295318 Reward:0 global reward:200 Action:[1, 0]
INFO:root:episode:10  step:6 Cost:36.495401768259725 min Cost:40.14870880769806 Reward:300 global reward:300 Action:[1, 5]
INFO:root:episode:11  step:1 Cost:26.82325606506131 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:11  step:2 Cost:41.34857707406133 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:11  step:3 Cost:53.16206843492639 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:11  step:4 Cost:61.495401768259725 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:11  step:5 Cost:52.889622418351266 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:11  step:6 Cost:53.252694156931554 min Cost:36.495401768259725 Reward:-167.57292388671829 global reward:300 Action:[0, 4]
INFO:root:episode:12  step:1 Cost:32.101859158924015 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[0, 1]
INFO:root:episode:12  step:2 Cost:53.67046929517535 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[1, 3]
INFO:root:episode:12  step:3 Cost:49.5179414481558 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:12  step:4 Cost:57.851274781489124 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:12  step:5 Cost:50.04115763477919 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:12  step:6 Cost:45.874490968112525 min Cost:36.495401768259725 Reward:-93.790891998528 global reward:300 Action:[0, 4]
INFO:root:episode:13  step:1 Cost:26.894733927952018 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:13  step:2 Cost:50.49413444094076 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[1, 4]
INFO:root:episode:13  step:3 Cost:61.7925152469764 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[0, 0]
INFO:root:episode:13  step:4 Cost:74.29251524697641 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:13  step:5 Cost:70.12584858030974 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:13  step:6 Cost:74.68365680096551 min Cost:36.495401768259725 Reward:-381.88255032705786 global reward:300 Action:[1, 5]
INFO:root:episode:14  step:1 Cost:26.886288330841545 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:14  step:2 Cost:51.93806733386288 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:14  step:3 Cost:78.79159806306286 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:14  step:4 Cost:87.12493139639619 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:14  step:5 Cost:73.59088713168973 min Cost:56.82237506295318 Reward:0 global reward:300 Action:[3, 0]
INFO:root:episode:14  step:6 Cost:73.59088713168973 min Cost:36.495401768259725 Reward:-370.9548536343 global reward:300 Action:[0, 4]
INFO:root:episode:15  step:1 Cost:26.886288330841545 min Cost:25.04342577574281 Reward:0 global reward:300 Action:[2, 2]
INFO:root:episode:15  step:2 Cost:54.203175132753266 min Cost:37.51455383872964 Reward:0 global reward:300 Action:[0, 3]
INFO:root:episode:15  step:3 Cost:79.85289994258024 min Cost:50.01455383872964 Reward:0 global reward:300 Action:[1, 1]
INFO:root:episode:15  step:4 Cost:88.18623327591357 min Cost:51.61812010795834 Reward:0 global reward:300 Action:[1, 5]
