INFO:root:episode:1  step:1 Cost:42807.91049418297 min Cost:-1 Reward:0 global reward:0 Action:[1, 4]
INFO:root:episode:1  step:2 Cost:59124.59281301892 min Cost:-1 Reward:0 global reward:0 Action:[2, 0]
INFO:root:episode:1  step:3 Cost:59141.259479685585 min Cost:-1 Reward:0 global reward:0 Action:[2, 5]
INFO:root:episode:1  step:4 Cost:59145.426146352256 min Cost:-1 Reward:0 global reward:0 Action:[1, 1]
INFO:root:episode:1  step:5 Cost:127898.65641601461 min Cost:-1 Reward:0 global reward:0 Action:[1, 2]
INFO:root:episode:1  step:6 Cost:119391.19032708627 min Cost:-1 Reward:0 global reward:0 Action:[0, 3]
INFO:root:episode:2  step:1 Cost:125794.7276829921 min Cost:42807.91049418297 Reward:0 global reward:0 Action:[1, 3]
INFO:root:episode:2  step:2 Cost:127881.98974934794 min Cost:59124.59281301892 Reward:0 global reward:0 Action:[2, 0]
INFO:root:episode:2  step:3 Cost:129807.55947864155 min Cost:59141.259479685585 Reward:0 global reward:0 Action:[3, 5]
INFO:root:episode:2  step:4 Cost:129811.72614530822 min Cost:59145.426146352256 Reward:0 global reward:0 Action:[1, 1]
INFO:root:episode:2  step:5 Cost:129811.72614530822 min Cost:127898.65641601461 Reward:0 global reward:0 Action:[3, 4]
INFO:root:episode:2  step:6 Cost:130674.16722977093 min Cost:119391.19032708627 Reward:-112829.76902684662 global reward:0 Action:[2, 2]
INFO:root:episode:3  step:1 Cost:125794.7276829921 min Cost:42807.91049418297 Reward:0 global reward:0 Action:[1, 4]
INFO:root:episode:3  step:2 Cost:140590.59343019512 min Cost:59124.59281301892 Reward:0 global reward:0 Action:[2, 0]
INFO:root:episode:3  step:3 Cost:127236.61395817864 min Cost:59141.259479685585 Reward:0 global reward:0 Action:[3, 2]
INFO:root:episode:3  step:4 Cost:332994.6069228291 min Cost:59145.426146352256 Reward:0 global reward:0 Action:[1, 1]
INFO:root:episode:3  step:5 Cost:332994.6069228291 min Cost:127898.65641601461 Reward:0 global reward:0 Action:[3, 5]
INFO:root:episode:3  step:6 Cost:185154.46092990763 min Cost:119391.19032708627 Reward:-657632.7060282136 global reward:0 Action:[0, 3]
INFO:root:episode:4  step:1 Cost:415610.92742978496 min Cost:42807.91049418297 Reward:0 global reward:0 Action:[1, 4]
INFO:root:episode:4  step:2 Cost:398807.2639108569 min Cost:59124.59281301892 Reward:0 global reward:0 Action:[2, 0]
INFO:root:episode:4  step:3 Cost:398819.7639108569 min Cost:59141.259479685585 Reward:0 global reward:0 Action:[2, 2]
INFO:root:episode:4  step:4 Cost:349317.19273049704 min Cost:59145.426146352256 Reward:0 global reward:0 Action:[3, 3]
INFO:root:episode:4  step:5 Cost:349317.19273049704 min Cost:127898.65641601461 Reward:0 global reward:0 Action:[1, 1]
INFO:root:episode:4  step:6 Cost:349317.19273049704 min Cost:119391.19032708627 Reward:-2299260.024034108 global reward:0 Action:[2, 5]
INFO:root:episode:5  step:1 Cost:234128.795700606 min Cost:42807.91049418297 Reward:0 global reward:0 Action:[0, 0]
INFO:root:episode:5  step:2 Cost:358403.5514047235 min Cost:59124.59281301892 Reward:0 global reward:0 Action:[3, 2]
INFO:root:episode:5  step:3 Cost:358403.5514047235 min Cost:59141.259479685585 Reward:0 global reward:0 Action:[3, 5]
